id,name,type,province_id,province_name
"1101","Kabupaten Simeulue","Lain","11","Aceh"
"1102","Kabupaten Aceh Singkil","Lain","11","Aceh"
"1103","Kabupaten Aceh Selatan","Lain","11","Aceh"
"1104","Kabupaten Aceh Tenggara","Lain","11","Aceh"
"1105","Kabupaten Aceh Timur","Lain","11","Aceh"
"1106","Kabupaten Aceh Tengah","Lain","11","Aceh"
"1107","Kabupaten Aceh Barat","Lain","11","Aceh"
"1108","Kabupaten Aceh Besar","Lain","11","Aceh"
"1109","Kabupaten Pidie","Lain","11","Aceh"
"1110","Kabupaten Bireuen","Lain","11","Aceh"
"1111","Kabupaten Aceh Utara","Lain","11","Aceh"
"1112","Kabupaten Aceh Barat Daya","Lain","11","Aceh"
"1113","Kabupaten Gayo Lues","Lain","11","Aceh"
"1114","Kabupaten Aceh Tamiang","Lain","11","Aceh"
"1115","Kabupaten Nagan Raya","Lain","11","Aceh"
"1116","Kabupaten Aceh Jaya","Lain","11","Aceh"
"1117","Kabupaten Bener Meriah","Lain","11","Aceh"
"1118","Kabupaten Pidie Jaya","Lain","11","Aceh"
"1171","Kota Banda Aceh","Kota","11","Aceh"
"1172","Kota Sabang","Kota","11","Aceh"
"1173","Kota Langsa","Kota","11","Aceh"
"1174","Kota Lhokseumawe","Kota","11","Aceh"
"1175","Kota Subulussalam","Kota","11","Aceh"
"1201","Kabupaten Nias","Lain","12","Sumatera Utara"
"1202","Kabupaten Mandailing Natal","Lain","12","Sumatera Utara"
"1203","Kabupaten Tapanuli Selatan","Lain","12","Sumatera Utara"
"1204","Kabupaten Tapanuli Tengah","Lain","12","Sumatera Utara"
"1205","Kabupaten Tapanuli Utara","Lain","12","Sumatera Utara"
"1206","Kabupaten Toba Samosir","Lain","12","Sumatera Utara"
"1207","Kabupaten Labuhan Batu","Lain","12","Sumatera Utara"
"1208","Kabupaten Asahan","Lain","12","Sumatera Utara"
"1209","Kabupaten Simalungun","Lain","12","Sumatera Utara"
"1210","Kabupaten Dairi","Lain","12","Sumatera Utara"
"1211","Kabupaten Karo","Lain","12","Sumatera Utara"
"1212","Kabupaten Deli Serdang","Lain","12","Sumatera Utara"
"1213","Kabupaten Langkat","Lain","12","Sumatera Utara"
"1214","Kabupaten Nias Selatan","Lain","12","Sumatera Utara"
"1215","Kabupaten Humbang Hasundutan","Lain","12","Sumatera Utara"
"1216","Kabupaten Pakpak Bharat","Lain","12","Sumatera Utara"
"1217","Kabupaten Samosir","Lain","12","Sumatera Utara"
"1218","Kabupaten Serdang Bedagai","Lain","12","Sumatera Utara"
"1219","Kabupaten Batu Bara","Lain","12","Sumatera Utara"
"1220","Kabupaten Padang Lawas Utara","Lain","12","Sumatera Utara"
"1221","Kabupaten Padang Lawas","Lain","12","Sumatera Utara"
"1222","Kabupaten Labuhan Batu Selatan","Lain","12","Sumatera Utara"
"1223","Kabupaten Labuhan Batu Utara","Lain","12","Sumatera Utara"
"1224","Kabupaten Nias Utara","Lain","12","Sumatera Utara"
"1225","Kabupaten Nias Barat","Lain","12","Sumatera Utara"
"1271","Kota Sibolga","Kota","12","Sumatera Utara"
"1272","Kota Tanjung Balai","Kota","12","Sumatera Utara"
"1273","Kota Pematang Siantar","Kota","12","Sumatera Utara"
"1274","Kota Tebing Tinggi","Kota","12","Sumatera Utara"
"1275","Kota Medan","Kota","12","Sumatera Utara"
"1276","Kota Binjai","Kota","12","Sumatera Utara"
"1277","Kota Padangsidimpuan","Kota","12","Sumatera Utara"
"1278","Kota Gunungsitoli","Kota","12","Sumatera Utara"
"1301","Kabupaten Kepulauan Mentawai","Lain","13","Sumatera Barat"
"1302","Kabupaten Pesisir Selatan","Lain","13","Sumatera Barat"
"1303","Kabupaten Solok","Lain","13","Sumatera Barat"
"1304","Kabupaten Sijunjung","Lain","13","Sumatera Barat"
"1305","Kabupaten Tanah Datar","Lain","13","Sumatera Barat"
"1306","Kabupaten Padang Pariaman","Lain","13","Sumatera Barat"
"1307","Kabupaten Agam","Lain","13","Sumatera Barat"
"1308","Kabupaten Lima Puluh Kota","Lain","13","Sumatera Barat"
"1309","Kabupaten Pasaman","Lain","13","Sumatera Barat"
"1310","Kabupaten Solok Selatan","Lain","13","Sumatera Barat"
"1311","Kabupaten Dharmasraya","Lain","13","Sumatera Barat"
"1312","Kabupaten Pasaman Barat","Lain","13","Sumatera Barat"
"1371","Kota Padang","Kota","13","Sumatera Barat"
"1372","Kota Solok","Kota","13","Sumatera Barat"
"1373","Kota Sawah Lunto","Kota","13","Sumatera Barat"
"1374","Kota Padang Panjang","Kota","13","Sumatera Barat"
"1375","Kota Bukittinggi","Kota","13","Sumatera Barat"
"1376","Kota Payakumbuh","Kota","13","Sumatera Barat"
"1377","Kota Pariaman","Kota","13","Sumatera Barat"
"1401","Kabupaten Kuantan Singingi","Lain","14","Riau"
"1402","Kabupaten Indragiri Hulu","Lain","14","Riau"
"1403","Kabupaten Indragiri Hilir","Lain","14","Riau"
"1404","Kabupaten Pelalawan","Lain","14","Riau"
"1405","Kabupaten S I A K","Lain","14","Riau"
"1406","Kabupaten Kampar","Lain","14","Riau"
"1407","Kabupaten Rokan Hulu","Lain","14","Riau"
"1408","Kabupaten Bengkalis","Lain","14","Riau"
"1409","Kabupaten Rokan Hilir","Lain","14","Riau"
"1410","Kabupaten Kepulauan Meranti","Lain","14","Riau"
"1471","Kota Pekanbaru","Kota","14","Riau"
"1473","Kota D U M A I","Kota","14","Riau"
"1501","Kabupaten Kerinci","Lain","15","Jambi"
"1502","Kabupaten Merangin","Lain","15","Jambi"
"1503","Kabupaten Sarolangun","Lain","15","Jambi"
"1504","Kabupaten Batang Hari","Lain","15","Jambi"
"1505","Kabupaten Muaro Jambi","Lain","15","Jambi"
"1506","Kabupaten Tanjung Jabung Timur","Lain","15","Jambi"
"1507","Kabupaten Tanjung Jabung Barat","Lain","15","Jambi"
"1508","Kabupaten Tebo","Lain","15","Jambi"
"1509","Kabupaten Bungo","Lain","15","Jambi"
"1571","Kota Jambi","Kota","15","Jambi"
"1572","Kota Sungai Penuh","Kota","15","Jambi"
"1601","Kabupaten Ogan Komering Ulu","Lain","16","Sumatera Selatan"
"1602","Kabupaten Ogan Komering Ilir","Lain","16","Sumatera Selatan"
"1603","Kabupaten Muara Enim","Lain","16","Sumatera Selatan"
"1604","Kabupaten Lahat","Lain","16","Sumatera Selatan"
"1605","Kabupaten Musi Rawas","Lain","16","Sumatera Selatan"
"1606","Kabupaten Musi Banyuasin","Lain","16","Sumatera Selatan"
"1607","Kabupaten Banyu Asin","Lain","16","Sumatera Selatan"
"1608","Kabupaten Ogan Komering Ulu Selatan","Lain","16","Sumatera Selatan"
"1609","Kabupaten Ogan Komering Ulu Timur","Lain","16","Sumatera Selatan"
"1610","Kabupaten Ogan Ilir","Lain","16","Sumatera Selatan"
"1611","Kabupaten Empat Lawang","Lain","16","Sumatera Selatan"
"1612","Kabupaten Penukal Abab Lematang Ilir","Lain","16","Sumatera Selatan"
"1613","Kabupaten Musi Rawas Utara","Lain","16","Sumatera Selatan"
"1671","Kota Palembang","Kota","16","Sumatera Selatan"
"1672","Kota Prabumulih","Kota","16","Sumatera Selatan"
"1673","Kota Pagar Alam","Kota","16","Sumatera Selatan"
"1674","Kota Lubuklinggau","Kota","16","Sumatera Selatan"
"1701","Kabupaten Bengkulu Selatan","Lain","17","Bengkulu"
"1702","Kabupaten Rejang Lebong","Lain","17","Bengkulu"
"1703","Kabupaten Bengkulu Utara","Lain","17","Bengkulu"
"1704","Kabupaten Kaur","Lain","17","Bengkulu"
"1705","Kabupaten Seluma","Lain","17","Bengkulu"
